num,carat,depth,table,x,y,price
65,0.42,61.5,59,4.78,3.98,3480
66,0.28,61.4,56,4.19,3.98,3690
67,0.32,62,55.3,4.39,3.98,3580
68,0.31,63.3,57,4.33,3.98,1270
69,0.31,61.8,58,4.35,3.98,2680
70,0.24,60.7,58,4.01,3.98,5690
71,0.24,61.5,60,3.97,3.98,3790
72,0.3,63.1,56,4.29,3.98,5970
73,0.3,62.9,59,4.28,3.98,2649
74,0.3,62.5,57,4.29,3.98,3890
75,0.3,63.7,57,4.28,3.98,3670
76,0.26,59.2,60,4.19,3.98,3780
77,0.26,59.9,58,4.15,3.98,2589
78,0.26,62.4,54,4.08,3.98,3578
79,0.26,62.8,60,4.01,3.98,1680
80,0.26,62.6,59,4.06,3.98,3680
81,0.26,63.4,59,4,3.98,2457
82,0.26,62.1,60,4.03,3.98,2789
83,0.26,62.9,58,4.02,3.98,3890
84,0.38,61.6,56,4.65,3.98,5609
85,0.26,57.9,60,4.22,3.98,3679
86,0.24,62.3,59,3.95,3.98,1235
87,0.24,61.2,58,4.01,3.98,5680
88,0.24,60.8,59,4.02,3.98,3789
89,0.24,60.7,58,4.07,3.98,2579
90,0.32,62.9,58,4.35,3.98,9753
91,0.7,62.5,57,5.7,3.98,1290
92,0.86,55.1,69,6.45,3.98,4580
93,0.7,61.6,56,5.7,3.98,3689
94,0.71,62.4,57,5.68,3.98,2390
95,0.78,63.8,56,5.81,3.98,4570
96,0.7,57.5,58,5.85,3.98,2697
97,0.7,59.4,62,5.71,3.98,3480
98,0.96,66.3,62,6.27,3.98,3690
99,0.73,61.6,59,5.77,3.98,1580
100,0.8,61.5,58,5.97,3.98,4560
101,0.75,63.2,56,5.8,3.98,3789
102,0.75,59.9,54,6,3.98,2690
103,0.74,61.6,55,5.8,3.98,5790
104,0.75,61.7,58,5.85,3.98,3790
105,0.8,62.9,56,5.94,3.98,2680
106,0.75,62.2,55,5.87,3.98,3780
107,0.8,63,59,5.9,3.98,3789
108,0.74,62.3,55,5.77,3.98,3670
109,0.81,58.8,57,6.14,3.98,2570
110,0.59,62,55,5.38,3.98,2547
111,0.8,61.4,57,5.96,3.98,6868
112,0.74,62.2,56,5.8,3.98,3578
113,0.9,63,58,6.16,3.98,3795
114,0.74,62.2,59,5.73,3.98,5785
115,0.73,62.6,56,5.77,3.98,3578
116,0.73,62.7,53,5.8,3.98,2575
117,0.8,61.7,58,5.98,3.98,3490
118,0.71,62.4,54,5.72,3.98,4597
119,0.7,60.7,58,5.73,3.98,2568
120,0.8,59.9,59,6.01,3.98,1298
121,0.71,62.3,56,5.73,3.98,3478
122,0.74,62.3,54,5.8,3.98,1287
123,0.7,61.7,63,5.64,3.98,2376
124,0.7,64.5,57,5.57,3.98,2309
125,0.7,65.3,55,5.63,3.98,4578
126,0.7,61.6,60,5.65,3.98,2390
127,0.91,61.4,56,6.09,3.98,5690
128,0.61,59.6,57,5.56,3.98,2390
129,0.91,64.4,57,6.11,3.98,1276
130,0.91,65.7,60,6.03,3.98,3498
131,0.77,62,56,5.89,3.98,5533
132,0.71,63.6,58,5.64,3.98,8790
133,0.71,61.9,59,5.69,3.98,4578
134,0.7,62.6,60,5.62,3.98,2380
135,0.77,61.3,60,5.88,3.98,4670
136,0.63,60.9,60,5.52,3.98,578
137,0.71,60.1,62,5.74,3.98,6789
138,0.71,61.8,59,5.69,3.98,3464
139,0.76,61.2,57,5.88,3.98,2464
140,0.64,61.9,56,5.53,3.98,2577
141,0.71,60.9,57,5.78,3.98,9753
142,0.71,59.8,56,5.89,3.98,4676
143,0.7,61.8,55,5.68,3.98,3675
144,0.7,60,57,5.8,3.98,3674
145,0.71,61.6,55,5.74,3.98,3547
146,0.7,62.1,64,5.62,3.98,7654
147,0.71,63.3,59,5.52,3.98,3576
148,0.73,60.2,56,5.83,3.98,3876
149,0.7,61.1,58,5.66,3.98,4798
150,0.7,60.9,57,5.73,3.98,6865
151,0.71,61.7,59,5.71,3.98,4797
152,0.74,61.3,56,5.82,3.98,4688
153,0.71,62.5,60,5.65,3.98,8654
154,0.73,61.4,59,5.83,3.98,7644
155,0.76,62.9,57,5.79,3.98,7547
156,0.76,62.4,57,5.78,3.98,4785
157,0.71,60.7,56,5.77,3.98,3775
158,0.73,60.7,58,5.87,3.98,4786
159,0.73,61.5,58,5.79,3.98,4876
160,0.73,59.9,57,5.92,4.12,9875
161,0.73,59.2,59,5.92,3.77,8797
162,0.72,60.3,56,5.81,4.18,9657
163,0.73,61.7,60,5.79,3.99,8734
164,0.71,61.9,57,5.73,4.13,9980
165,0.79,61.9,55,5.97,4.17,5798
166,0.73,60.4,59,5.83,4.56,8470
167,0.8,61,57,6.01,3.78,5860
168,0.58,61.5,55,5.39,3.09,6474
169,0.58,61.7,56,5.33,4.89,8430
170,0.71,59.2,61,5.8,4.8,8640
171,0.75,61.3,56,5.85,2.5,7650
172,0.7,58,62,5.87,4.9,4750
173,1.17,60.2,61,6.83,3.67,5649
174,0.6,61.7,55,5.41,3.97,3536
175,0.7,62.7,55,5.68,3.67,3637
176,0.83,64.6,54,5.85,4.23,8765
177,0.74,61.3,61,5.8,3.98,8646
178,0.72,63.7,56.4,5.62,2.7,6353
179,0.71,62.7,58,5.74,3.8,6436
180,0.71,62.2,57,5.79,4.1,8643
181,0.54,61.6,56,5.25,3.7,9754
182,0.54,61.5,57,5.24,3.5,7536
183,0.72,61.8,56,5.72,3.6,7647
184,0.72,60.7,56,5.79,3.6,4754
185,0.72,59.7,60.5,5.8,2.9,5774
186,0.71,60.5,56,5.8,4.1,7536
187,0.7,62.7,58,5.66,4.2,6535
188,0.71,62.1,58,5.67,4.3,6435
189,0.71,62.8,57,5.64,3.6,7553
190,0.71,63.8,58,5.61,3.8,6645
191,0.71,57.8,60,5.87,4,9874
192,0.7,62.1,55,5.7,3.7,3369
193,0.7,61.1,60,5.71,3.88,9875
194,0.7,60,59,5.79,3.09,5789
195,0.7,61.2,57,5.73,4.12,5785
196,0.7,62.7,59,5.67,4.23,4087
197,0.7,61,57,5.73,4.87,5799
198,0.7,61,58,5.78,3.76,3685
199,0.7,61.4,57,5.76,3.55,4776
200,0.72,61.8,61,5.82,4.76,5745

